club_name,link,description,majors
Finance Association,https://universityclubs.edu/finance_association,A group for students passionate about exploring new ideas and innovation.,"Mathematics, Statistics"
Film Club,https://universityclubs.edu/film_club,A welcoming community for collaboration and creativity.,"Finance, Economics"
Film Club,https://universityclubs.edu/film_club,We compete in national events and support student growth.,"Philosophy, Religious Studies"
Finance Association,https://universityclubs.edu/finance_association,A platform to bring together like-minded students.,"Philosophy, Religious Studies"
Psychology Society,https://universityclubs.edu/psychology_society,"We host guest lectures, socials, and hackathons.","History, Anthropology"
Coding Ninjas,https://universityclubs.edu/coding_ninjas,We compete in national events and support student growth.,"History, Anthropology"
Finance Association,https://universityclubs.edu/finance_association,Focused on creating networking opportunities and hands-on projects.,"Mathematics, Statistics"
AI Society,https://universityclubs.edu/ai_society,We host weekly workshops and competitions to sharpen skills.,"Political Science, Law"
Literature Circle,https://universityclubs.edu/literature_circle,A platform to bring together like-minded students.,"Mechanical Engineering, Electrical Engineering"
Math Club,https://universityclubs.edu/math_club,"We host guest lectures, socials, and hackathons.","Film Studies, Media Studies"
Astronomy Club,https://universityclubs.edu/astronomy_club,We host weekly workshops and competitions to sharpen skills.,"Film Studies, Media Studies"
Entrepreneurship Hub,https://universityclubs.edu/entrepreneurship_hub,We compete in national events and support student growth.,"Computer Science, Data Science"
Astronomy Club,https://universityclubs.edu/astronomy_club,A platform to bring together like-minded students.,"Chemistry, Biochemistry"
Finance Association,https://universityclubs.edu/finance_association,A welcoming community for collaboration and creativity.,"Philosophy, Religious Studies"
Cultural Exchange Club,https://universityclubs.edu/cultural_exchange_club,We support both beginners and advanced learners.,"Psychology, Sociology"
Psychology Society,https://universityclubs.edu/psychology_society,A platform to bring together like-minded students.,"Political Science, Law"
Biology Society,https://universityclubs.edu/biology_society,"Promoting research, collaboration, and knowledge-sharing among peers.","Philosophy, Religious Studies"
Cybersecurity Club,https://universityclubs.edu/cybersecurity_club,"We host guest lectures, socials, and hackathons.","Dance, Fine Arts"
Chemistry Association,https://universityclubs.edu/chemistry_association,We support both beginners and advanced learners.,"Environmental Science, Sustainability"
Biology Society,https://universityclubs.edu/biology_society,A platform to bring together like-minded students.,"Business, Entrepreneurship"
Film Club,https://universityclubs.edu/film_club,"Promoting research, collaboration, and knowledge-sharing among peers.","History, Anthropology"
Game Development Guild,https://universityclubs.edu/game_development_guild,We host weekly workshops and competitions to sharpen skills.,"Biology, Neuroscience"
Cybersecurity Club,https://universityclubs.edu/cybersecurity_club,A platform to bring together like-minded students.,"Computer Science, Data Science"
Drama Club,https://universityclubs.edu/drama_club,We support both beginners and advanced learners.,"Dance, Fine Arts"
Biology Society,https://universityclubs.edu/biology_society,A group for students passionate about exploring new ideas and innovation.,"Psychology, Sociology"
Film Club,https://universityclubs.edu/film_club,A group for students passionate about exploring new ideas and innovation.,"Mathematics, Statistics"
Robotics Club,https://universityclubs.edu/robotics_club,Focused on creating networking opportunities and hands-on projects.,"Dance, Fine Arts"
Game Development Guild,https://universityclubs.edu/game_development_guild,"We host guest lectures, socials, and hackathons.","Psychology, Sociology"
AI Society,https://universityclubs.edu/ai_society,A group for students passionate about exploring new ideas and innovation.,"Chemistry, Biochemistry"
